Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0032543,mitochondrial translation,19_GO:0008152 metabolic process,-26,77,35,30244,110,57,16,28,6,6182|9553|9801|10352|10573|11222|23395|51067|51116|54938|55157|63875|64965|65008|79590|124454,MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|YARS2|MRPS2|SARS2|DARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-21
MyList,GO Biological Processes,19,GO:0006520,amino acid metabolic process,19_GO:0008152 metabolic process,-24,36,26,30244,281,57,19,33,6.2,38|440|1743|2653|2731|2752|5198|5859|8833|10352|23395|23438|29920|29968|51067|54938|55157|57176|124454,ACAT1|ASNS|DLST|GCSH|GLDC|GLUL|PFAS|QARS1|GMPS|WARS2|LARS2|HARS2|PYCR2|PSAT1|YARS2|SARS2|DARS2|VARS2|EARS2,-21
MyList,GO Biological Processes,19,GO:0043603,amide metabolic process,19_GO:0008152 metabolic process,-24,17,19,30244,799,57,25,44,6.6,38|440|1743|2752|4967|5859|6182|9553|9801|10352|10573|11222|23395|23438|51067|51116|54938|54995|55157|57176|63875|64965|65008|79590|124454,ACAT1|ASNS|DLST|GLUL|OGDH|QARS1|MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|HARS2|YARS2|MRPS2|SARS2|OXSM|DARS2|VARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-21
MyList,GO Biological Processes,19,GO:0140053,mitochondrial gene expression,19_GO:0008152 metabolic process,-24,60,31,30244,142,57,16,28,6,6182|9553|9801|10352|10573|11222|23395|51067|51116|54938|55157|63875|64965|65008|79590|124454,MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|YARS2|MRPS2|SARS2|DARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-21
MyList,Reactome Gene Sets,6,R-HSA-72766,Translation,,-24,35,25,30244,292,57,19,33,6.2,5859|6182|9553|9801|10352|10573|11222|23395|23438|51067|51116|54938|55157|57176|63875|64965|65008|79590|124454,QARS1|MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|HARS2|YARS2|MRPS2|SARS2|DARS2|VARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-21
MyList,GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-22,21,20,30244,542,57,21,37,6.4,38|440|5859|6182|9553|9801|10352|10573|11222|23395|23438|51067|51116|54938|55157|57176|63875|64965|65008|79590|124454,ACAT1|ASNS|QARS1|MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|HARS2|YARS2|MRPS2|SARS2|DARS2|VARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-19
MyList,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-22,26,21,30244,389,57,19,33,6.2,5859|6182|9553|9801|10352|10573|11222|23395|23438|51067|51116|54938|55157|57176|63875|64965|65008|79590|124454,QARS1|MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|HARS2|YARS2|MRPS2|SARS2|DARS2|VARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-18
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-21,24,21,30244,418,57,19,33,6.2,5859|6182|9553|9801|10352|10573|11222|23395|23438|51067|51116|54938|55157|57176|63875|64965|65008|79590|124454,QARS1|MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|HARS2|YARS2|MRPS2|SARS2|DARS2|VARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-18
MyList,Reactome Gene Sets,6,R-HSA-379726,Mitochondrial tRNA aminoacylation,,-19,2.3e+02,45,30244,21,57,9,16,4.8,5859|10352|23395|23438|51067|54938|55157|57176|124454,QARS1|WARS2|LARS2|HARS2|YARS2|SARS2|DARS2|VARS2|EARS2,-16
MyList,GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-19,20,19,30244,513,57,19,33,6.2,5859|6182|9553|9801|10352|10573|11222|23395|23438|51067|51116|54938|55157|57176|63875|64965|65008|79590|124454,QARS1|MRPL12|MRPL33|MRPL19|WARS2|MRPL28|MRPL3|LARS2|HARS2|YARS2|MRPS2|SARS2|DARS2|VARS2|MRPL17|MRPS9|MRPL1|MRPL24|EARS2,-16
